Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,ASIANPAINT,35046,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT SEP FUT,ASIANPAINT26SEP24F,2024-09-26,200,0.05
NFO,nse_fo,ASTRAL,35049,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL SEP FUT,ASTRAL26SEP24F,2024-09-26,367,0.05
NFO,nse_fo,ASHOKLEY,35050,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY JUL FUT,ASHOKLEY25JUL24F,2024-07-25,5000,0.01
NFO,nse_fo,ATUL,35058,FUTSTK,XX,-1,ATUL LTD,ATUL SEP FUT,ATUL26SEP24F,2024-09-26,100,0.05
NFO,nse_fo,FINNIFTY,35073,FUTIDX,XX,-1,FINNIFTY,FINNIFTY AUG FUT,FINNIFTY27AUG24F,2024-08-27,25,0.05
NFO,nse_fo,BANKNIFTY,35075,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY SEP FUT,BANKNIFTY25SEP24F,2024-09-25,15,0.05
NFO,nse_fo,NIFTYNXT50,35078,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 AUG FUT,NIFTYNXT5030AUG24F,2024-08-30,10,0.05
NFO,nse_fo,MIDCPNIFTY,35080,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY JUL FUT,MIDCPNIFTY29JUL24F,2024-07-29,50,0.05
NFO,nse_fo,BANKNIFTY,35089,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY AUG FUT,BANKNIFTY28AUG24F,2024-08-28,15,0.05
NFO,nse_fo,AUBANK,35090,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK SEP FUT,AUBANK26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,AUROPHARMA,35096,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA SEP FUT,AUROPHARMA26SEP24F,2024-09-26,550,0.05
NFO,nse_fo,AXISBANK,35098,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK SEP FUT,AXISBANK26SEP24F,2024-09-26,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35099,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO SEP FUT,BAJAJ-AUTO26SEP24F,2024-09-26,75,0.05
NFO,nse_fo,BAJAJFINSV,35114,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV SEP FUT,BAJAJFINSV26SEP24F,2024-09-26,500,0.05
NFO,nse_fo,BAJFINANCE,35122,FUTSTK,XX,-1,BAJAJ FINANCE LIMITED,BAJFINANCE SEP FUT,BAJFINANCE26SEP24F,2024-09-26,125,0.05
NFO,nse_fo,BALKRISIND,35123,FUTSTK,XX,-1,BALKRISHNA IND. LTD,BALKRISIND SEP FUT,BALKRISIND26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,MIDCPNIFTY,35128,OPTIDX,CE,12825,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12825 CE,MIDCPNIFTY29JUL24C12825,2024-07-29,50,0.05
NFO,nse_fo,BALRAMCHIN,35132,FUTSTK,XX,-1,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN SEP FUT,BALRAMCHIN26SEP24F,2024-09-26,1600,0.05
NFO,nse_fo,BANDHANBNK,35133,FUTSTK,XX,-1,BANDHAN BANK LIMITED,BANDHANBNK SEP FUT,BANDHANBNK26SEP24F,2024-09-26,2800,0.01
NFO,nse_fo,BANKBARODA,35134,FUTSTK,XX,-1,BANK OF BARODA,BANKBARODA SEP FUT,BANKBARODA26SEP24F,2024-09-26,2925,0.05
NFO,nse_fo,MIDCPNIFTY,35135,OPTIDX,PE,12825,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12825 PE,MIDCPNIFTY29JUL24P12825,2024-07-29,50,0.05
NFO,nse_fo,BATAINDIA,35136,FUTSTK,XX,-1,BATA INDIA LTD,BATAINDIA SEP FUT,BATAINDIA26SEP24F,2024-09-26,375,0.05
NFO,nse_fo,ASIANPAINT,35142,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT JUL FUT,ASIANPAINT25JUL24F,2024-07-25,200,0.05
NFO,nse_fo,ASTRAL,35143,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL JUL FUT,ASTRAL25JUL24F,2024-07-25,367,0.05
NFO,nse_fo,FINNIFTY,35146,OPTIDX,CE,25900,FINNIFTY,FINNIFTY JUL 25900 CE,FINNIFTY30JUL24C25900,2024-07-30,25,0.05
NFO,nse_fo,FINNIFTY,35147,OPTIDX,PE,25900,FINNIFTY,FINNIFTY JUL 25900 PE,FINNIFTY30JUL24P25900,2024-07-30,25,0.05
NFO,nse_fo,BEL,35149,FUTSTK,XX,-1,BHARAT ELECTRONICS LTD,BEL SEP FUT,BEL26SEP24F,2024-09-26,2850,0.05
NFO,nse_fo,BERGEPAINT,35151,FUTSTK,XX,-1,BERGER PAINTS (I) LTD,BERGEPAINT SEP FUT,BERGEPAINT26SEP24F,2024-09-26,1320,0.05
NFO,nse_fo,BHARATFORG,35156,FUTSTK,XX,-1,BHARAT FORGE LTD,BHARATFORG SEP FUT,BHARATFORG26SEP24F,2024-09-26,500,0.05
NFO,nse_fo,BHARTIARTL,35157,FUTSTK,XX,-1,BHARTI AIRTEL LIMITED,BHARTIARTL SEP FUT,BHARTIARTL26SEP24F,2024-09-26,475,0.05
NFO,nse_fo,BANKNIFTY,35165,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY JUL FUT,BANKNIFTY31JUL24F,2024-07-31,15,0.05
NFO,nse_fo,BHEL,35180,FUTSTK,XX,-1,BHEL,BHEL SEP FUT,BHEL26SEP24F,2024-09-26,2625,0.05
NFO,nse_fo,BIOCON,35181,FUTSTK,XX,-1,BIOCON LIMITED.,BIOCON SEP FUT,BIOCON26SEP24F,2024-09-26,2500,0.05
NFO,nse_fo,BOSCHLTD,35182,FUTSTK,XX,-1,BOSCH LIMITED,BOSCHLTD SEP FUT,BOSCHLTD26SEP24F,2024-09-26,25,0.05
NFO,nse_fo,ATUL,35185,FUTSTK,XX,-1,ATUL LTD,ATUL JUL FUT,ATUL25JUL24F,2024-07-25,100,0.05
NFO,nse_fo,BPCL,35186,FUTSTK,XX,-1,BHARAT PETROLEUM CORP  LT,BPCL SEP FUT,BPCL26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,BRITANNIA,35189,FUTSTK,XX,-1,BRITANNIA INDUSTRIES LTD,BRITANNIA SEP FUT,BRITANNIA26SEP24F,2024-09-26,200,0.05
NFO,nse_fo,AUBANK,35190,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK JUL FUT,AUBANK25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,AUROPHARMA,35191,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA JUL FUT,AUROPHARMA25JUL24F,2024-07-25,550,0.05
NFO,nse_fo,AXISBANK,35192,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK JUL FUT,AXISBANK25JUL24F,2024-07-25,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35193,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO JUL FUT,BAJAJ-AUTO25JUL24F,2024-07-25,75,0.05
NFO,nse_fo,BSOFT,35194,FUTSTK,XX,-1,BIRLASOFT LIMITED,BSOFT SEP FUT,BSOFT26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,BAJAJFINSV,35195,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV JUL FUT,BAJAJFINSV25JUL24F,2024-07-25,500,0.05
NFO,nse_fo,CANBK,35196,FUTSTK,XX,-1,CANARA BANK,CANBK SEP FUT,CANBK26SEP24F,2024-09-26,6750,0.01
NFO,nse_fo,CANFINHOME,35199,FUTSTK,XX,-1,CAN FIN HOMES LTD,CANFINHOME SEP FUT,CANFINHOME26SEP24F,2024-09-26,975,0.05
NFO,nse_fo,CHAMBLFERT,35202,FUTSTK,XX,-1,CHAMBAL FERTILIZERS LTD,CHAMBLFERT SEP FUT,CHAMBLFERT26SEP24F,2024-09-26,1900,0.05
NFO,nse_fo,CHOLAFIN,35205,FUTSTK,XX,-1,CHOLAMANDALAM IN & FIN CO,CHOLAFIN SEP FUT,CHOLAFIN26SEP24F,2024-09-26,625,0.05
NFO,nse_fo,NIFTYNXT50,35239,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 JUL FUT,NIFTYNXT5026JUL24F,2024-07-26,10,0.05
NFO,nse_fo,CIPLA,35240,FUTSTK,XX,-1,CIPLA LTD,CIPLA SEP FUT,CIPLA26SEP24F,2024-09-26,650,0.05
NFO,nse_fo,COALINDIA,35242,FUTSTK,XX,-1,COAL INDIA LTD,COALINDIA SEP FUT,COALINDIA26SEP24F,2024-09-26,2100,0.05
NFO,nse_fo,COFORGE,35254,FUTSTK,XX,-1,COFORGE LIMITED,COFORGE SEP FUT,COFORGE26SEP24F,2024-09-26,150,0.05
NFO,nse_fo,COLPAL,35255,FUTSTK,XX,-1,COLGATE PALMOLIVE LTD.,COLPAL SEP FUT,COLPAL26SEP24F,2024-09-26,350,0.05
NFO,nse_fo,BAJFINANCE,35302,FUTSTK,XX,-1,BAJAJ FINANCE LIMITED,BAJFINANCE JUL FUT,BAJFINANCE25JUL24F,2024-07-25,125,0.05
NFO,nse_fo,BALKRISIND,35303,FUTSTK,XX,-1,BALKRISHNA IND. LTD,BALKRISIND JUL FUT,BALKRISIND25JUL24F,2024-07-25,300,0.05
NFO,nse_fo,CONCOR,35323,FUTSTK,XX,-1,CONTAINER CORP OF IND LTD,CONCOR SEP FUT,CONCOR26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,COROMANDEL,35324,FUTSTK,XX,-1,COROMANDEL INTERNTL. LTD,COROMANDEL SEP FUT,COROMANDEL26SEP24F,2024-09-26,700,0.05
NFO,nse_fo,CROMPTON,35325,FUTSTK,XX,-1,CROMPT GREA CON ELEC LTD,CROMPTON SEP FUT,CROMPTON26SEP24F,2024-09-26,1800,0.05
NFO,nse_fo,CUB,35328,FUTSTK,XX,-1,CITY UNION BANK LTD,CUB SEP FUT,CUB26SEP24F,2024-09-26,5000,0.01
NFO,nse_fo,MIDCPNIFTY,35329,OPTIDX,CE,12575,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12575 CE,MIDCPNIFTY29JUL24C12575,2024-07-29,50,0.05
NFO,nse_fo,MIDCPNIFTY,35334,OPTIDX,PE,12575,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12575 PE,MIDCPNIFTY29JUL24P12575,2024-07-29,50,0.05
NFO,nse_fo,MIDCPNIFTY,35335,OPTIDX,CE,12625,MIDCPNIFTY,MIDCPNIFTY 29th JUL 12625 CE,MIDCPNIFTY29JUL24C12625,2024-07-29,50,0.05
NFO,nse_fo,BALRAMCHIN,35338,FUTSTK,XX,-1,BALRAMPUR CHINI MILLS LTD,BALRAMCHIN JUL FUT,BALRAMCHIN25JUL24F,2024-07-25,1600,0.05
